OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,Shape__Area,Shape__Length,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area_2,Shape__Length_2
85,11001006801,244792,0,Census Tract 68.01,District of Columbia,District of Columbia,2302,235,250,74,0,12,0,12,0,12,214,69,19,19,0,12,17,19,2052,226,185,61,65,31,31,35,1495,181,174,67,87,38,15,16,10.9,3.01736755439537,0,21,0,7.47330960854093,404610.77734375,2648.2348473604,281,80,404610.77734375,2648.2348473604
86,11001006802,280108,0,Census Tract 68.02,District of Columbia,District of Columbia,2509,159,188,126,0,12,4,7,22,35,143,94,19,17,0,12,0,12,2321,143,221,68,157,75,47,42,1650,114,133,54,59,41,54,32,7.5,4.99942114158382,26,38,5.8,8.29285519818217,462925.69140625,3235.14941856345,451,116,462925.69140625,3235.14941856345
87,11001006804,1542276,477746,Census Tract 68.04,District of Columbia,District of Columbia,247,194,116,150,0,12,0,12,0,12,100,113,16,37,0,12,0,12,131,109,12,11,28,43,14,21,68,51,9,19,0,12,0,12,47,48.2428941084531,0,21,0,38.8888888888889,2548976.09765625,13856.2377477854,54,53,2548976.09765625,13856.2377477854
88,11001006900,398513,0,Census Tract 69,District of Columbia,District of Columbia,2379,271,88,53,0,12,0,12,0,12,71,50,17,18,0,12,0,12,2291,270,212,94,135,76,84,55,1575,174,243,105,0,12,42,36,3.7,2.18761516041399,0,21,0,4.87238979118329,658622.65625,3633.89990466157,431,134,658622.65625,3633.89990466157
89,11001007000,423352,0,Census Tract 70,District of Columbia,District of Columbia,2361,230,98,58,0,12,0,12,0,12,67,49,12,20,19,23,0,12,2263,222,222,90,54,43,68,62,1537,189,303,77,40,29,39,31,4.2,2.42307932532961,0,21,0,6.1046511627907,699627.2734375,3750.00028412346,344,119,699627.2734375,3750.00028412346
90,11001007100,602224,149901,Census Tract 71,District of Columbia,District of Columbia,3425,437,1397,543,177,111,162,156,132,92,859,365,30,32,29,28,8,12,2028,503,211,143,103,127,101,131,1377,237,184,101,31,25,21,24,40.8,14.9755047614963,471,212,53.2,14.7005497546428,995310.80078125,4606.81468594005,886,314,995310.80078125,4606.81468594005
91,11001007200,1368066,312407,Census Tract 72,District of Columbia,District of Columbia,5054,310,526,205,0,17,0,17,33,43,303,134,104,59,41,41,45,59,4528,355,278,133,95,72,0,17,3871,263,248,86,28,32,8,13,10.4,4.00564325559624,33,49,8.1,11.6393594426661,2260520.6328125,7159.62029561102,406,160,2260520.6328125,7159.62029561102
92,11001007301,4584798,5139019,Census Tract 73.01,District of Columbia,District of Columbia,3948,376,174,217,49,68,26,51,13,26,86,87,0,12,0,12,0,12,3774,392,1061,170,339,101,160,98,2128,222,86,53,0,12,0,12,4.4,5.48040343675716,88,89,5.3,5.34600593890743,7573155.875,23793.7396234589,1648,238,7573155.875,23793.7396234589
93,11001007304,1240397,11701,Census Tract 73.04,District of Columbia,District of Columbia,3419,412,1158,440,146,131,140,97,153,109,618,261,87,76,14,20,0,12,2261,372,204,115,179,87,67,65,1392,271,308,112,81,49,30,34,33.9,12.2049231512651,439,196,49.4,17.0322564200632,2066868.390625,7099.84814149675,889,252,2066868.390625,7099.84814149675
94,11001007401,1210265,200992,Census Tract 74.01,District of Columbia,District of Columbia,2262,199,1462,233,189,97,225,91,159,52,771,149,81,48,26,27,11,14,800,195,59,51,89,44,109,54,394,116,112,39,30,23,7,9,64.6,8.58899904508434,573,143,69,10.216869814162,1999081.65234375,7750.13262805173,830,167,1999081.65234375,7750.13262805173
