,Census,Number of Crimes,Total Population,Percentage of Population in Poverty,Percentage of Children in Poverty,Latitude,Longitude
87,8402,207,2346.0,8.70000000000003,1.1999999999999955,38.899279540752396,-76.99038462090496
88,8410,154,1519.0,5.700000000000014,0.0,38.90169845429816,-76.9905393365507
89,8701,125,2359.0,6.600000000000015,0.0,38.914283379655274,-77.0067221902415
90,8702,115,2751.0,20.099999999999955,20.8,38.9161637972535,-77.00163222603773
91,8802,370,4300.0,17.8999999999999,24.5,38.90310537594876,-76.9841562138059
92,8803,391,1767.0,48.60000000000002,62.59999999999969,38.91208569443851,-76.98958944211664
93,8804,229,2537.0,24.300000000000104,27.19999999999989,38.908000946300774,-76.98181034121521
94,8903,96,3252.0,26.80000000000001,53.0,38.90456787821676,-76.97707914955471
95,8904,204,3680.0,29.300000000000107,31.0,38.901557517002814,-76.97711958792999
96,9102,577,5175.0,30.5,46.0,38.92153611432637,-76.98990179119264
97,9201,117,2395.0,20.800000000000004,8.200000000000017,38.93035607488356,-76.99634488984955
98,9203,70,2792.0,18.799999999999976,27.700000000000028,38.92249720128149,-77.00349468359849
99,9204,134,2918.0,28.199999999999932,37.5,38.9225202548157,-76.99784227405583
100,9301,202,3468.0,10.40000000000004,1.4000000000000015,38.931470436157085,-76.98782745528796
101,9302,48,1279.0,12.10000000000001,13.89999999999999,38.925244065317024,-76.9906576438696
102,9501,134,5438.0,10.400000000000013,4.1999999999999975,38.94297258895443,-77.00354261729429
103,9503,88,3071.0,5.3999999999999915,0.0,38.94540116718924,-76.98351023244288
104,9504,157,3023.0,9.90000000000002,0.0,38.93935092472381,-76.99200745350174
105,9505,177,2926.0,11.400000000000038,5.899999999999985,38.96086528652814,-77.00292267433757
106,9507,43,1924.0,13.800000000000002,24.20000000000002,38.9588502112968,-76.99843569737355
107,9508,129,3691.0,13.90000000000003,2.8000000000000065,38.9543048707812,-76.99957149697072
108,9509,51,3314.0,3.9000000000000035,0.0,38.9494183835868,-76.9953873433053
109,9601,147,2537.0,41.0,59.5,38.90939681881377,-76.9378205892679
110,9602,138,3675.0,41.89999999999994,55.699999999999875,38.90180707323016,-76.94886663811383
111,9603,510,3625.0,11.300000000000106,7.900000000000063,38.89290870264367,-76.94797327601259
112,9604,116,2189.0,12.099999999999987,0.0,38.893062191606504,-76.95753046685455
113,9801,82,2301.0,41.400000000000055,65.8000000000001,38.83327279450189,-76.99448875436933
114,9802,40,2051.0,48.0,66.90000000000005,38.830541253074095,-76.99723247110607
115,9803,105,3081.0,41.699999999999925,54.300000000000104,38.83628040007227,-77.00353616637071
116,9804,115,2826.0,33.90000000000006,48.0,38.8410164560931,-76.99684958842134
117,9807,171,3290.0,31.60000000000004,45.199999999999875,38.8294008578039,-77.0094071745466
118,9810,84,2895.0,37.30000000000004,44.0,38.827351430997254,-77.00356628419347
119,9811,123,5163.0,35.699999999999925,45.60000000000005,38.82760560886321,-76.99740324994858
120,9901,83,2890.0,9.29999999999999,0.0,38.87569209163185,-76.95653506253174
121,9902,107,3105.0,15.700000000000028,14.599999999999978,38.86863366466094,-76.94443152249421
122,9903,98,1952.0,19.29999999999997,34.099999999999945,38.88868711815502,-76.92080141254775
123,9904,118,2948.0,35.300000000000075,48.10000000000006,38.884915951991594,-76.93045954109652
124,9905,144,2852.0,28.400000000000063,44.399999999999906,38.88417165710901,-76.92496744142032
125,9906,86,1623.0,22.900000000000034,27.7,38.88827535094421,-76.9358100391892
126,9907,108,2773.0,28.80000000000004,47.100000000000016,38.88256126872399,-76.93739585245727
